station_name,rows,average_actual,average_prediction,mae,rmse,bias_actual_minus_prediction,p90_absolute_error,underprediction_rate,overprediction_rate,training_average_demand,station_demand_tier
捷運臺電大樓站(2號出口),743,2.6567967698519515,2.743453751757109,1.2565747093955069,1.8548711812960643,-0.08665698190515768,3.0233288842085564,0.3364737550471063,0.6635262449528937,3.287593984962406,medium
南京遼寧街口,744,2.7231182795698925,2.8023404109172083,1.246534739832194,1.9236268795333957,-0.07922213134731561,2.9219166225552797,0.34274193548387094,0.657258064516129,3.8966165413533833,medium
興雅松仁路口,737,2.587516960651289,2.591100073783153,1.2259958602308498,1.9131729171829899,-0.0035831131318642072,2.946968967447319,0.3175033921302578,0.6824966078697422,3.499529633113829,medium
捷運大安站(5號出口),743,2.430686406460296,2.2922520510572046,1.2203206610794457,1.8118652790119765,0.13843435540309104,2.7859084241966428,0.3714670255720054,0.6285329744279946,2.3400689223057642,low
復興南路二段273號前,743,1.9448183041722746,2.098992342240703,1.2031620194146484,1.79367295163336,-0.15417403806842817,2.9052433959723465,0.3028263795423957,0.6971736204576043,2.526315789473684,low
捷運公館站(1號出口),743,2.391655450874832,2.596680857154442,1.1878941942842351,1.6607693426164836,-0.2050254062796103,2.838452996384157,0.3162853297442799,0.6837146702557201,3.2161654135338344,medium
捷運信義安和站(1號出口),738,2.475609756097561,2.615338250930112,1.1831235544128318,1.7084945235161964,-0.13972849483255165,2.7886932165762,0.3238482384823848,0.6761517615176151,3.4031676336835504,medium
捷運松山站(4號出口),744,2.485215053763441,2.585265594031755,1.1752371253187597,1.749762538263542,-0.10005054026831443,2.7578058306616167,0.31048387096774194,0.6895161290322581,3.1661967418546366,medium
捷運景美站(2號出口),744,2.138440860215054,2.336471718657244,1.1702108938210656,1.6889570694470435,-0.19803085844219,2.713243012020426,0.3077956989247312,0.6922043010752689,3.18781328320802,medium
捷運唭哩岸站(2號出口),743,2.257065948855989,2.4338844141205933,1.1667896735604435,1.682550725072579,-0.17681846526460387,2.640274505153719,0.31763122476446837,0.6823687752355316,3.425281954887218,medium
捷運南京復興站(7號出口),742,2.532345013477089,2.5549807210746147,1.1437709593912777,1.7502370342312203,-0.022635707597525978,2.8914007897273453,0.3477088948787062,0.6522911051212938,2.9235588972431077,low
捷運萬隆站(2號出口),744,2.48252688172043,2.52086392769582,1.142545570208963,1.6504014257585,-0.03833704597538943,2.703638121158956,0.3333333333333333,0.6666666666666666,2.9573868087106376,low
捷運小巨蛋站(5號出口)_1,743,2.0484522207267832,2.084149970866779,1.1198425865921315,1.6933103323456757,-0.03569775013999576,2.672266953108058,0.34185733512786004,0.65814266487214,2.521071596428012,low
捷運臺大醫院站(4號出口),741,2.329284750337382,2.4044696590566574,1.11530866001126,1.6017233350911415,-0.075184908719276,2.63928097763283,0.3360323886639676,0.6639676113360324,3.062509791634028,low
捷運小巨蛋站(3號出口),744,2.0094086021505375,2.0536492065819894,1.1023939041555875,1.5534115587751078,-0.04424060443145204,2.5373517183766436,0.3602150537634409,0.6397849462365591,2.4105576441102756,low
捷運信義安和站(2號出口),739,2.151556156968877,2.0848795766548167,1.0999219883043039,1.6246802049154747,0.0666765803140603,2.708490758421859,0.3721244925575101,0.6278755074424899,2.471150830981499,low
臺大椰林小舖,744,1.3346774193548387,1.439471043020549,1.0958282465774536,1.8750560531825307,-0.10479362366571034,2.4309464773379017,0.2862903225806452,0.7137096774193549,2.0654761904761907,low
捷運北投站(1號出口)(北投路側),743,1.819650067294751,1.822412976378897,1.0917250271153685,1.7183802040377218,-0.002762909084145948,2.766925439145372,0.33378196500672946,0.6662180349932705,2.1110588972431077,low
捷運臺電大樓站(2號出口)_1,744,1.853494623655914,1.9351911970318851,1.0878148088195698,1.6270430395855566,-0.08169657337597097,2.5592256428665325,0.33602150537634407,0.6639784946236559,2.3920739348370925,low
捷運松江南京站(8號出口),744,2.014784946236559,1.9754467831368607,1.0807764975372811,1.6222027661733203,0.039338163099698065,2.586106905665794,0.36693548387096775,0.6330645161290323,2.256109022556391,low
捷運小南門站(1號出口),742,1.6657681940700808,1.838979398816264,1.0780721517641687,1.635499294395785,-0.17321120474618323,2.478938219673373,0.3059299191374663,0.6940700808625337,2.3275375939849625,low
捷運南京三民站(4號出口),744,1.7970430107526882,1.8415578084491502,1.0650665278347267,1.6091823494672113,-0.044514797696462015,2.317232073988676,0.31586021505376344,0.6841397849462365,2.245495848347172,low
捷運忠孝新生站(2號出口),744,1.7836021505376345,1.8486692815776502,1.0593076461308013,1.6514069060982264,-0.06506713104001584,2.3791287936016605,0.33198924731182794,0.668010752688172,2.3035714285714284,low
捷運象山站(1號出口),737,1.791044776119403,1.8486841026641068,1.0551695763711397,1.575777653073822,-0.05763932654470383,2.651855516945902,0.3147896879240163,0.6852103120759837,2.4656739811912227,low
捷運古亭站(8號出口),744,2.006720430107527,2.138673151691022,1.0523010948946017,1.5805861184249606,-0.13195272158349514,2.572320588394026,0.3010752688172043,0.6989247311827957,2.818452380952381,low
捷運後山埤站(3號出口),743,1.9703903095558546,2.062672866420417,1.0503606804411154,1.519134769064775,-0.092282556864562,2.4202537276649876,0.3405114401076716,0.6594885598923284,2.245495848347172,low
捷運後山埤站(1號出口),744,1.739247311827957,1.726172891638983,1.0459620600927306,1.5226244391174109,0.013074420188974116,2.542366337337832,0.34543010752688175,0.6545698924731183,2.150689223057644,low
捷運忠孝敦化站(7號出口),743,1.9488559892328399,2.048243563974216,1.0350295091941701,1.50228337239524,-0.09938757474137626,2.494966298202103,0.3391655450874832,0.6608344549125168,2.5546679197994986,low
臺大鹿鳴堂東側,744,1.4919354838709677,1.6074808681997235,1.0314861201953796,1.8730391540727405,-0.11554538432875583,2.5497035568892463,0.23387096774193547,0.7661290322580645,2.479636591478697,low
捷運芝山站(2號出口),743,1.3055181695827724,1.4282108018250508,1.0200573918409466,1.6440699893302027,-0.12269263224227812,2.366539689463196,0.25841184387617766,0.7415881561238223,2.076911027568922,low
捷運西門站(5號出口),742,1.7547169811320755,1.8606546434676876,1.017175759766086,1.5122147604063143,-0.10593766233561201,2.3841209859309282,0.3045822102425876,0.6954177897574124,2.307222309258969,low
松山車站,743,1.6971736204576042,1.8313868720151,1.0113381546442088,1.543756898449026,-0.1342132515574956,2.4943131855160416,0.2839838492597577,0.7160161507402423,2.3222117794486214,low
捷運萬隆站(1號出口),744,1.7150537634408602,1.8289358738594514,0.9961115397533543,1.5058763121559327,-0.11388211041859105,2.376737755568168,0.29435483870967744,0.7056451612903226,2.3074874686716793,low
捷運南京三民站(2號出口),743,1.997308209959623,2.127473488428303,0.987633413204808,1.4395041815896876,-0.13016527846867923,2.374200866020418,0.3243606998654105,0.6756393001345895,2.841453861820461,low
捷運港墘站(1號出口),743,1.8183041722745625,1.8246465659870705,0.9579840334985895,1.4248424897760457,-0.0063423937125080465,2.2782717799434646,0.34185733512786004,0.65814266487214,2.4034785333751176,low
捷運萬隆站(4號出口),743,1.6716016150740243,1.8251157911020082,0.9556894536546514,1.4105367846198609,-0.15351417602798362,2.2672879615818755,0.30955585464333785,0.6904441453566622,2.4857456140350878,low
捷運松江南京站(4號出口),743,1.6850605652759085,1.722711295779422,0.9390980186432402,1.367176859472302,-0.03765073050351346,2.1854631216484086,0.34185733512786004,0.65814266487214,2.176433719837042,low
南港車站(市民大道),743,1.3216689098250336,1.4622198447898453,0.8417882914365172,1.2424793417088904,-0.14055093496481189,2.059182693534895,0.28936742934051146,0.7106325706594886,2.104529070678577,low
