station_name,borrow_count,return_count,total_activity,current_station_match
林口公園,246,1092,1338,True
中山天母路口,240,1097,1337,True
民生國小(敦化北路199巷),104,1232,1336,True
和平新生路口西南側,278,1051,1329,True
大稻埕公園,179,1149,1328,True
松友公園,103,1223,1326,True
新生南路三段82號前,515,809,1324,True
華西公園,351,963,1314,True
南港車站(興華路),1077,237,1314,True
松德路200巷,137,1176,1313,True
永吉松信路口,170,1141,1311,True
捷運西湖站(2號出口),1129,179,1308,True
福德公園,185,1118,1303,True
捷運小南門站(2號出口),1152,149,1301,True
嘉興街175巷口,379,916,1295,True
捷運北投站,1064,231,1295,True
捷運新北投站,507,783,1290,True
西松高中(健康路325巷),84,1200,1284,True
捷運西門站(2號出口),1089,194,1283,True
成功國宅,220,1058,1278,True
捷運明德站(1號出口),1053,221,1274,True
基隆長興路口東側,472,801,1273,True
捷運小巨蛋站(5號出口),930,339,1269,True
臺北市立大學(天母校區),44,1215,1259,True
華江高中,286,969,1255,True
捷運中正紀念堂站(5號出口),993,260,1253,True
蘭雅國小,219,1034,1253,True
民生立體停車場,301,947,1248,True
健康新城,199,1048,1247,True
民權建國路口,535,712,1247,True
通河街76巷/承德路四段10巷口,40,1206,1246,True
開封西寧路口,235,1011,1246,True
臨江街夜市(通化街101巷口),213,1025,1238,True
敦北公園,854,381,1235,True
捷運科技大樓站(臺北教育大學),716,514,1230,True
捷運市政府站(4號出口),937,290,1227,True
林森公園,498,728,1226,True
捷運辛亥站,1101,116,1217,True
江寧公園,111,1093,1204,True
承德劍潭路口,903,300,1203,True
士東路91巷口,54,1149,1203,True
捷運中山國小站(2號出口),992,210,1202,True
和平敦化路口,606,594,1200,True
臺大工綜館南側,115,1084,1199,True
光復信義路口東南側,251,947,1198,True
忠誠路一段173巷口,108,1082,1190,True
新生南路一段119巷口,784,405,1189,True
成功金龍路口,1019,158,1177,True
忠孝西重慶南路口,684,492,1176,True
捷運葫洲站(1號出口),1010,166,1176,True
紀州庵,93,1082,1175,True
關渡自然公園,28,1144,1172,True
南京太原路口,399,771,1170,True
萬華266號綠地,375,795,1170,True
饒河疏散門(基四號疏散門),715,448,1163,True
捷運大直站(3號出口),948,205,1153,True
民權龍江路口,421,725,1146,True
中華漢口街口,513,632,1145,True
永盛公園(民生東路一段23巷),182,957,1139,True
中崙高中,182,956,1138,True
捷運善導寺站(3號出口),881,255,1136,True
捷運善導寺站(1號出口),880,256,1136,True
太原廣場,606,530,1136,True
三興國小,260,875,1135,True
臺北市立美術館_1,742,389,1131,True
民族延平路口,95,1035,1130,True
松德公園,45,1077,1122,True
信義大安路口(信維大樓),581,539,1120,True
龍江錦州街口,220,894,1114,True
捷運臺電大樓站(1號出口),879,234,1113,True
敦化八德路口,273,837,1110,True
羅斯福路三段311號前,544,563,1107,True
捷運大安站(6號出口),865,234,1099,True
聯合醫院中興院區,122,973,1095,True
臺大男八舍東側,85,1010,1095,True
陽明大學,99,994,1093,True
酒泉延平路口,54,1038,1092,True
景華街128巷口,52,1038,1090,True
敦化基隆路口,174,916,1090,True
大業大同街口,57,1029,1086,True
臺北轉運站,574,511,1085,True
松智松壽路口,490,588,1078,True
捷運昆陽站(4號出口),943,135,1078,True
基河文林路口,826,251,1077,True
捷運松山站(2號出口),911,164,1075,True
大安高工,495,573,1068,True
臺北市藝文推廣處,261,804,1065,True
羅斯福寧波東街口,678,377,1055,True
金瑞公園,34,1020,1054,True
臺大農業陳列館北側,554,499,1053,True
關渡醫院,127,924,1051,True
臺北市立天文館,84,966,1050,True
信義路三段134巷口,382,664,1046,True
中正運動中心,281,763,1044,True
德行公園,652,391,1043,True
和平東建國南路口,157,885,1042,True
捷運臺北車站(M2出口),745,294,1039,True
建國南路一段279巷口,155,881,1036,True
捷運木柵站,832,197,1029,True
忠誠公園,492,536,1028,True
國防大學政治作戰學院,46,974,1020,True
峨嵋停車場,371,647,1018,False
建國農安街口,60,955,1015,True
劍潭海外青年活動中心_1,197,812,1009,True
重慶保安街口(家樂福重慶店),230,779,1009,True
樹德公園_1,114,895,1009,True
中正高中,20,986,1006,True
林森徐州路口,120,883,1003,True
大安運動中心,207,785,992,True
華山文創園區,388,603,991,True
捷運松山站(1號出口),786,204,990,True
仁愛安和路口,324,665,989,True
羅斯福三段金門街口,337,651,988,True
松德虎林街口,163,823,986,True
新生南路三段94巷口,469,514,983,True
松江路431巷口,67,916,983,True
松江民生路口,726,256,982,True
和平復興路口西北側,561,420,981,True
捷運大湖公園站(2號出口),789,186,975,True
中山徐州路口,483,486,969,True
臺大男六舍前,113,856,969,True
復華花園新城,242,720,962,True
臺大天文數學館南側,46,912,958,True
第二學生活動中心,692,265,957,True
松山工農,112,839,951,True
敦化長春路口,320,628,948,True
南京東路五段59巷口,188,759,947,True
振興醫院,128,816,944,True
捷運麟光站(2號出口),613,330,943,True
豐年公園_1,80,862,942,True
光復北路11巷口,303,636,939,True
松仁路121巷口,537,401,938,True
聯合醫院和平院區,357,578,935,True
臺北遠企購物中心,372,562,934,True
興豐公園,251,680,931,True
信義延吉街口,314,615,929,True
民生建國路口,186,743,929,True
景行公園,763,165,928,True
天母棒球場,333,593,926,True
德明財經科技大學,101,825,926,True
和平臥龍街口,252,673,925,True
捷運劍南路站(1號出口),806,118,924,True
臺大立體機車停車場,412,511,923,True
臺北花木批發市場,303,618,921,True
臺北護理大學,531,388,919,True
民權建國路口(南側),244,675,919,True
中山堂,333,585,918,True
捷運大直站(3號出口)_1,749,167,916,True
老松國小,413,503,916,True
瑞安街208巷,54,862,916,True
捷運臺大醫院站(1號出口),712,202,914,True
捷運臺電大樓站(4號出口),558,352,910,True
捷運淡水站,0,910,910,False
奇岩4號綠地,24,884,908,True
華齡街185巷口,21,884,905,True
捷運南京復興站(1號出口),705,200,905,True
西園艋舺路口,618,287,905,True
志成公園,356,547,903,True
大豐公園,122,779,901,True
春光公園,416,482,898,True
瑞光公共住宅(瑞光路),38,859,897,True
承德民權路口,720,176,896,True
松山路292巷口,400,496,896,True
中研公園,84,809,893,True
臺大博理館西側,40,853,893,True
臺北市立圖書館大同分館,193,694,887,True
臺大男七舍前,31,849,880,True
劍潭海外青年活動中心,409,469,878,True
愛國金山路口,232,646,878,True
臺大社會系館南側,73,795,868,True
湖光國宅,26,838,864,True
蔣渭水紀念公園,138,722,860,True
捷運動物園站(2號出口),717,143,860,True
松山家商(林口街),189,670,859,True
松江公園,562,293,855,True
臨江街夜市(基隆路),213,640,853,True
榮華二明德路口,44,807,851,True
捷運中正紀念堂站(4號出口),543,307,850,True
光明溫泉路口,127,717,844,True
?公公園,548,294,842,False
捷運線型公園(後街),141,699,840,True
基隆忠孝路口西南側,393,447,840,True
華江八號公園,110,730,840,True
臺大心理系館南側,23,816,839,True
辛亥新生路口東南側,288,551,839,True
芝山抽水站,33,803,836,True
撫順公園,460,374,834,True
桂林昆明街口,137,694,831,True
前港公園(前港街),169,661,830,True
市民林森路口,157,672,829,True
合心廣場,502,324,826,True
信義基隆路口,227,599,826,True
建國長春路口(北側),81,745,826,True
興安合江路口,70,756,826,True
樂群二敬業三路口,107,718,825,True
臺大女九舍西南側,36,786,822,True
臺北科技大學億光大樓,163,659,822,True
中山農安街口,228,591,819,True
吉林路407巷口,66,753,819,True
臺大動物醫院前,311,506,817,True
洲子二號公園,171,644,815,False
松山高中,191,622,813,True
碧山公園,47,766,813,True
世貿公園,197,614,811,True
歸綏戲曲公園,135,676,811,True
復興北路514巷口東側,40,769,809,True
瑞光港墘路口,235,573,808,True
大安運動中心停車場,343,465,808,True
敦化南路二段81巷,146,660,806,True
陽明交大圖書館,45,756,801,True
孫立人將軍官邸,238,561,799,True
文德三號公園(江南街71巷16弄),187,611,798,True
臺大凝態館南側,99,699,798,True
青年公園3號出口,235,563,798,True
捷運石牌站(1號出口),700,96,796,True
忠孝東路三段217巷口,310,483,793,False
興福國中,31,761,792,True
中全公園,138,653,791,True
捷運南港展覽館站(7號出口),731,58,789,True
和平公園東側,177,611,788,True
陳天來故居,66,722,788,True
國興青年路口,260,525,785,True
市民金山路口,286,498,784,True
萬有3號公園,81,701,782,True
景仁公園_1,73,707,780,True
太原五原路口,179,601,780,True
新生南路三段66號前,160,620,780,True
臺北轉運站(華陰街),379,398,777,True
錦德公園,23,747,770,True
臺大舊體育館西側,58,709,767,True
延平國宅,26,741,767,True
臺北健康護理大學(教研大樓),195,571,766,True
玉成公園(成福路178巷口),46,718,764,True
東新國小,50,711,761,True
文林建民路口,39,722,761,True
南京龍江路口,384,375,759,True
自來水園區,289,469,758,True
中山民族路口,176,574,750,True
通北街65巷口,38,711,749,True
捷運南港展覽館站(4號出口),653,96,749,True
幸安國小(仁愛路),167,581,748,True
民生復興路口,136,611,747,True
陽明高中,247,493,740,True
南門國中,412,327,739,True
捷運龍山寺站(3號出口),600,138,738,True
中山中正路口,454,282,736,True
臺北市立美術館,585,149,734,True
南京東路四段179巷口,228,506,734,True
永吉路321巷口,75,659,734,True
建國濟南路口,169,565,734,True
重慶國中,31,703,734,True
三軍總醫院(松山分院),90,644,734,True
和平東路二段18巷口,28,706,734,True
八德市場,94,639,733,True
文林福華路口,519,212,731,True
朝陽公園,156,572,728,True
下埤公園,25,701,726,True
承德路三段8巷口,553,169,722,True
臺大樂學館東側,204,516,720,True
新東街51巷口,158,558,716,True
扶輪親恩公園,601,114,715,True
松勤莊敬路口,472,240,712,True
研究院舊莊街口,440,272,712,True
虎林永吉路口,204,507,711,True
劍潭抽水站,23,687,710,True
南海和平路口西南側,179,530,709,True
復源公園,61,648,709,True
東湖國小,462,247,709,True
新東公園,157,545,702,True
中山北路二段59巷口,223,477,700,True
仁愛敦南圓環(西北側),293,405,698,True
忠誠路一段138號,83,614,697,True
僑安地下停車場(2號出口)東南側,385,311,696,True
外交部外交及國際事務學院,200,495,695,True
成德國中,50,644,694,True
民權吉林路口,239,454,693,True
捷運內湖站(2號出口),633,58,691,True
