event_time,station_name,borrow_count,prediction,signed_error,absolute_error,hour
2023-12-19 19:00:00+08:00,捷運劍潭站(2號出口),17.0,33.569736,-16.56973648071289,16.56973648071289,19
2023-12-12 19:00:00+08:00,捷運劍潭站(2號出口),40.0,23.45991,16.540090560913086,16.540090560913086,19
2023-12-04 18:00:00+08:00,捷運劍潭站(2號出口),6.0,22.533075,-16.5330753326416,16.5330753326416,18
2023-12-21 17:00:00+08:00,捷運劍潭站(2號出口),39.0,22.539448,16.460552215576172,16.460552215576172,17
2023-12-26 09:00:00+08:00,捷運公館站(2號出口),19.0,35.418304,-16.418304443359375,16.418304443359375,9
2023-12-09 16:00:00+08:00,捷運公館站(2號出口),53.0,36.583183,16.41681671142578,16.41681671142578,16
2023-12-05 07:00:00+08:00,捷運芝山站(2號出口)_1,25.0,8.585897,16.41410255432129,16.41410255432129,7
2023-12-25 21:00:00+08:00,捷運公館站(2號出口),48.0,31.797913,16.20208740234375,16.20208740234375,21
2023-12-02 21:00:00+08:00,捷運劍南路站(2號出口),22.0,5.82468,16.175320148468018,16.175320148468018,21
2023-12-11 16:00:00+08:00,捷運劍潭站(2號出口),32.0,15.935449,16.06455135345459,16.06455135345459,16
2023-12-29 17:00:00+08:00,捷運芝山站(2號出口)_1,50.0,33.956806,16.043193817138672,16.043193817138672,17
2023-12-06 07:00:00+08:00,捷運公館站(3號出口),12.0,28.009436,-16.009435653686523,16.009435653686523,7
2023-12-28 19:00:00+08:00,捷運永春站(2號出口),27.0,11.040848,15.959152221679688,15.959152221679688,19
2023-12-30 16:00:00+08:00,捷運公館站(2號出口),46.0,30.050312,15.949687957763672,15.949687957763672,16
2023-12-04 17:00:00+08:00,捷運公館站(2號出口),15.0,30.931677,-15.931676864624023,15.931676864624023,17
2023-12-13 18:00:00+08:00,捷運公館站(3號出口),37.0,21.132956,15.867044448852539,15.867044448852539,18
2023-12-12 10:00:00+08:00,捷運公館站(2號出口),30.0,14.189385,15.810614585876465,15.810614585876465,10
2023-12-28 18:00:00+08:00,捷運古亭站(5號出口),27.0,11.208388,15.791611671447754,15.791611671447754,18
2023-12-18 21:00:00+08:00,捷運公館站(2號出口),38.0,22.221565,15.778434753417969,15.778434753417969,21
2023-12-06 18:00:00+08:00,捷運公館站(2號出口),53.0,37.25077,15.749229431152344,15.749229431152344,18
2023-12-19 07:00:00+08:00,捷運公館站(3號出口),35.0,19.262968,15.737031936645508,15.737031936645508,7
2023-12-28 17:00:00+08:00,捷運龍山寺站(1號出口),16.0,31.698437,-15.698436737060547,15.698436737060547,17
2023-12-07 17:00:00+08:00,捷運六張犁站,27.0,11.353774,15.646225929260254,15.646225929260254,17
2023-12-26 18:00:00+08:00,捷運圓山站(1號出口),44.0,28.38564,15.614360809326172,15.614360809326172,18
2023-12-23 07:00:00+08:00,捷運公館站(2號出口),7.0,22.600836,-15.600835800170898,15.600835800170898,7
