context,segment,rows,average_actual,average_prediction,mae,rmse,bias_actual_minus_prediction,p90_absolute_error,underprediction_rate,overprediction_rate
weekday,Wednesday,9600,4.063645833333333,4.349803023760375,1.589007999041117,2.536844661273844,-0.28615719042704113,3.890558344544466,0.31375,0.68625
peak_period,evening_peak,12371,8.192466251717727,8.046701221361745,2.631075095883862,3.6839303875880263,0.1457650303559819,5.672334444478601,0.4706167650149543,0.5293832349850457
peak_period,morning_peak,9300,5.988279569892473,6.14470942320282,2.266860999078321,3.3200602600517426,-0.15642985331034703,4.89224203102279,0.42634408602150536,0.5736559139784946
peak_period,off_peak,52611,2.6782612001292505,2.7788383500152682,1.2040104524778135,2.0080398602554,-0.10057714988601747,3.091308800334028,0.29461519454106555,0.7053848054589344
official_day_type,regular_workday,50400,4.288194444444445,4.376222592183502,1.624381054166887,2.64631460553561,-0.08802814773905757,3.9754726102083136,0.3371031746031746,0.6628968253968254
official_day_type,weekend_day_off,23882,3.426053094380705,3.4472566883785754,1.4699868557033238,2.3294539399473106,-0.02120359399787036,3.615702490819857,0.3474164642827234,0.6525835357172766
rain_intensity,dry,52782,4.434542078738964,4.492047898121791,1.6638515113596277,2.6390783159374576,-0.05750581938282709,4.024836984940109,0.3580955628812853,0.6419044371187147
rain_intensity,rain_at_or_above_training_median,9100,1.8267032967032968,2.11022731213886,1.0520606659152378,1.9407146932300694,-0.28352401543556327,2.909101235398964,0.20725274725274725,0.7927472527472528
rain_intensity,rain_below_training_median,12400,3.8112096774193547,3.756988885385293,1.5790216681859155,2.5503930737565486,0.05422079203406163,3.7577374769044227,0.3629032258064516,0.6370967741935484
temperature_band,cool_training_quartile,48082,3.492637577471819,3.5015068701856094,1.3990155083143252,2.396698919697825,-0.008869292713790534,3.6005341290084414,0.3155650763279398,0.6844349236720603
temperature_band,middle_temperature_range,25100,4.934541832669323,5.1090780078557385,1.884998929337254,2.798670837043197,-0.1745361751864155,4.243503888683185,0.38366533864541835,0.6163346613545817
temperature_band,warm_training_quartile,1100,5.596363636363637,5.7197195895110315,2.1764494734394777,2.9778385778307377,-0.12335595314739482,4.719923833360764,0.44,0.56
actual_demand_band,four_to_nine,19705,5.859325044404973,5.531951038716522,1.9268105634295036,2.4997012651453807,0.3273740056884512,3.90653354995202,0.6112154275564577,0.38878457244354225
actual_demand_band,one_to_three,22972,1.9079749259968657,2.810958785155116,1.3026666155357225,1.814998408726655,-0.9029838591582501,2.8906280823047292,0.29744906843113356,0.7025509315688665
actual_demand_band,ten_or_more,8578,16.164373979948707,13.583312864254761,4.23076088547645,5.442568588432017,2.581061115693946,8.430791988089494,0.7472604336675216,0.25273956633247846
actual_demand_band,zero,23027,0.0,0.5554742127865515,0.5554742127865515,1.1346786989052349,-0.5554742127865515,1.938994550971179,0.0,1.0
