period,day_type,local_hour,rows,mean_available_bikes,mean_available_return_bikes,observed_empty_percent
week_2,weekday,4,106056,11.364750697744588,16.189946820547636,1.7311608961303464
week_2,weekday,5,106056,11.44038055366976,16.14974164592291,1.3860601946141662
week_2,weekday,6,106056,11.382599758618088,16.3064795956853,1.6557290488044052
week_2,weekday,7,106056,11.030936486384551,16.710700007543185,3.449121218978653
week_2,weekday,8,106056,11.04413705966659,16.73208493626009,4.829524025043373
week_2,weekday,9,106056,10.965763370294939,16.79987930904428,5.475409217771744
week_2,weekday,10,106062,10.859714129471442,16.902283569987365,4.770794440987347
week_2,weekday,11,106062,10.75002357111878,17.01759348305708,4.118345873168524
week_2,weekday,12,106056,10.431951044731086,17.359640190088257,3.583955646073772
week_2,weekday,13,106073,10.868911032967862,16.93586492321326,2.9885079143608646
week_2,weekday,14,106080,11.11756221719457,16.71448906485671,2.8827300150829562
week_2,weekday,15,106089,11.297325830199172,16.555637247971042,2.3536841708376928
week_2,weekday,16,106092,11.111780341590318,16.777033141047394,2.7146250424160163
week_2,weekday,17,106080,10.772209653092006,17.141515837104073,3.586915535444947
week_2,weekday,18,106044,10.10509788389725,17.78718267888801,4.573573233752028
week_2,weekday,19,106038,10.341405911088478,17.4797619721232,4.025915237933571
week_2,weekday,20,106032,10.329287384940395,17.440008676625926,3.9827599215331224
week_2,weekday,21,106032,10.129574090840501,17.49738758110759,4.6118153010411955
week_2,weekday,22,106032,10.117285347819527,17.389693677380414,6.181152859514109
week_2,weekday,23,104266,10.369075249841751,17.08380488366294,5.958797690522318
week_2,weekend,0,42339,10.395946999220577,17.115921490824064,5.489029027610477
week_2,weekend,1,42336,10.519179894179894,17.01171579743008,4.412320483749054
week_2,weekend,2,42336,10.58916761148904,16.950184240362812,3.8903061224489797
week_2,weekend,3,42336,10.59013605442177,16.949263038548754,3.883219954648526
week_2,weekend,4,42336,10.59013605442177,16.949263038548754,3.883219954648526
week_2,weekend,5,42336,10.59013605442177,16.949263038548754,3.883219954648526
week_2,weekend,6,42336,10.59013605442177,16.949263038548754,3.883219954648526
week_2,weekend,7,42336,10.59013605442177,16.949263038548754,3.883219954648526
week_2,weekend,8,42336,10.59013605442177,16.949263038548754,3.883219954648526
week_2,weekend,9,42344,10.589646703192896,16.948139051577556,3.882486302663896
week_2,weekend,10,42344,10.590213489514452,16.946863782354054,3.882486302663896
week_2,weekend,11,42324,10.594272753047916,16.94329458463283,3.8843209526509783
week_2,weekend,12,42324,10.594272753047916,16.94329458463283,3.8843209526509783
week_2,weekend,13,42324,10.594272753047916,16.94329458463283,3.8843209526509783
week_2,weekend,14,42324,10.594272753047916,16.94329458463283,3.8843209526509783
week_2,weekend,15,42324,10.594272753047916,16.94329458463283,3.8843209526509783
week_2,weekend,16,42324,10.594272753047916,16.94329458463283,3.8843209526509783
week_2,weekend,17,42324,10.594272753047916,16.94329458463283,3.8843209526509783
week_2,weekend,18,42324,10.594272753047916,16.94329458463283,3.8843209526509783
week_2,weekend,19,42324,10.594272753047916,16.94329458463283,3.8843209526509783
week_2,weekend,20,42324,10.594272753047916,16.94329458463283,3.8843209526509783
week_2,weekend,21,42315,10.59454094292804,16.945196738745125,3.8851471109535627
week_2,weekend,22,42336,10.59013605442177,16.949263038548754,3.883219954648526
week_2,weekend,23,42348,10.58713516576934,16.948710682913006,3.9104562198923207
